Sample,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13
homo1,0.9788438617401669,0.9456521739130435,0.9024284475281873,0.976010101010101,0.9520095980803839,0.9468154957321077,0.9201623815967523,0.9400369003690037,0.6937046004842615,0.9645362431800467,0.883442265795207,0.8729857819905213,0.970285446888161,0.8920842824601367,0.9626943005181348,0.9657282741738066,0.9390243902439024,0.9202172096908939,0.8778787878787879,0.7849765258215963,0.9653304442036836,0.9866937302661254,0.9386206896551724,0.8605563480741797,0.9252288911495422,0.9734799482535575
homo2,0.9779499404052443,0.717391304347826,0.8889852558542931,0.8743686868686869,0.9640071985602879,0.9054497701904136,0.8826116373477673,0.9469557195571956,0.8188054882970137,0.9750584567420109,0.8371459694989106,0.9549763033175356,0.970987365465606,0.916002277904328,0.9709844559585492,0.9553243574051408,0.9310506566604128,0.9093567251461988,0.8551515151515151,0.8300469483568075,0.7735644637053087,0.979702300405954,0.9482758620689655,0.7749643366619116,0.9674465920651069,0.9676584734799483
homo3,0.9776519666269369,0.9130434782608695,0.7497831743278404,0.8402777777777778,0.9619076184763048,0.9097176625082075,0.8440460081190798,0.9298892988929889,0.8405972558514931,0.9711613406079501,0.934640522875817,0.9407582938388626,0.9663079082826392,0.9547266514806378,0.9704663212435233,0.9620563035495716,0.8438086303939962,0.9164578111946533,0.916969696969697,0.8272300469483568,0.7318526543878656,0.9803788903924222,0.9437931034482758,0.9283166904422254,0.9542217700915565,0.9715394566623544
homo4,0.9779499404052443,0.6760869565217391,0.7892454466608847,0.8554292929292929,0.9694061187762447,0.9438608010505581,0.8521650879566982,0.9534132841328413,0.8175948345439871,0.9781761496492596,0.9057734204793029,0.8691943127962085,0.9681796911558259,0.9777904328018223,0.9678756476683937,0.9602203182374541,0.8588180112570356,0.8270676691729323,0.9081818181818182,0.8394366197183099,0.8277356446370531,0.9869192602616148,0.9534482758620689,0.829885877318117,0.9287894201424212,0.9786545924967659
homo5,0.9880810488676997,0.822463768115942,0.9171725932350391,0.9412878787878788,0.9541091781643671,0.9482928430728824,0.8721244925575101,0.9261992619926199,0.7046004842615012,0.9692127825409197,0.8997821350762527,0.9018957345971564,0.9721572297613477,0.9792141230068337,0.9678756476683937,0.9596083231334149,0.8897748592870544,0.8629908103592314,0.9148484848484848,0.7530516431924883,0.8770314192849404,0.9857916102841678,0.9355172413793104,0.757132667617689,0.887589013224822,0.9786545924967659
homo6,0.967222884386174,0.7608695652173914,0.6040763226366002,0.9684343434343434,0.9328134373125375,0.9932698621142482,0.9374154262516915,0.9372693726937269,0.7292171105730427,0.9692127825409197,0.8120915032679739,0.909952606635071,0.9737950397753861,0.8505125284738041,0.9645077720207254,0.956548347613219,0.8893058161350844,0.8972431077694235,0.9027272727272727,0.9422535211267605,0.800650054171181,0.9896256202074876,0.9548275862068966,0.8744650499286734,0.9364191251271617,0.9838292367399741
homo7,0.9731823599523242,0.6920289855072463,0.9601040763226366,0.9690656565656566,0.9841031793641272,0.9949113591595535,0.9262516914749662,0.8270295202952029,0.7554479418886199,0.759937646141855,0.9580610021786492,0.9805687203791469,0.5088909686476368,0.981492027334852,0.9808290155440414,0.9620563035495716,0.9371482176360225,0.9431913116123642,0.9672727272727273,0.8624413145539906,0.9463705308775732,0.959404600811908,0.8579310344827586,0.8748216833095578,0.9247202441505595,0.9184993531694696
homo8,0.9690107270560191,0.7601449275362319,0.9345186470078057,0.9747474747474747,0.9862027594481104,0.937951411687459,0.871786197564276,0.9506457564575646,0.8192090395480226,0.5463756819953235,0.9373638344226579,0.933175355450237,0.9691155825924193,0.9316628701594533,0.9761658031088083,0.956548347613219,0.952626641651032,0.9306599832915622,0.9590909090909091,0.8553990610328639,0.9463705308775732,0.9700045105999098,0.8906896551724138,0.8826676176890157,0.930824008138352,0.888745148771022
homo9,0.9737783075089392,0.8594202898550725,0.9470945359930616,0.9671717171717171,0.9802039592081584,0.9504267892317794,0.9303112313937754,0.8519372693726938,0.8288942695722357,0.5413094310210445,0.9449891067538126,0.9222748815165877,0.7395882077678989,0.9402050113895216,0.9774611398963731,0.9614443084455324,0.9423076923076923,0.8876357560568087,0.9478787878787879,0.936150234741784,0.9637053087757314,0.9769959404600812,0.9520689655172414,0.8473609129814551,0.9425228891149542,0.9805950840879689
homo10,0.9520262216924911,0.9268115942028986,0.9462272333044233,0.9602272727272727,0.9784043191361728,0.937951411687459,0.8873477672530447,0.9243542435424354,0.7885391444713479,0.5845674201091192,0.9596949891067538,0.9274881516587677,0.9344875994384652,0.9681093394077449,0.9735751295336788,0.956548347613219,0.9315196998123827,0.8909774436090225,0.936060606060606,0.8849765258215962,0.9317443120260022,0.9497068110058637,0.8831034482758621,0.869472182596291,0.904883011190234,0.926261319534282
homo11,0.9570917759237187,0.8492753623188406,0.9670424978317432,0.961489898989899,0.9829034193161368,0.9236703873933026,0.9056156968876861,0.8316420664206642,0.9717514124293786,0.9684333593141076,0.931917211328976,0.8924170616113745,0.5051474029012635,0.9003416856492027,0.9738341968911917,0.9730722154222766,0.9441838649155723,0.9519632414369257,0.9412121212121212,0.8206572769953052,0.9674972914409534,0.9733874605322508,0.8286206896551724,0.8801711840228246,0.9516785350966429,0.9501940491591203
homo12,0.9478545887961859,0.8681159420289855,0.9423243712055508,0.9703282828282829,0.9847030593881224,0.9180892974392646,0.9810554803788903,0.9289667896678967,0.8442292171105731,0.9688230709275136,0.914488017429194,0.9127962085308057,0.7356106691623772,0.9037585421412301,0.9753886010362695,0.9687882496940025,0.9296435272045028,0.9177109440267335,0.953939393939394,0.9507042253521126,0.918201516793066,0.970681100586378,0.9058620689655172,0.9407988587731811,0.9252288911495422,0.9385510996119016
homo13,0.948450536352801,0.6608695652173913,0.9440589765828274,0.9640151515151515,0.9772045590881824,0.9478003939592908,0.881935047361299,0.7984317343173432,0.9636803874092009,0.538971161340608,0.8954248366013072,0.8834123222748815,0.7349087505849321,0.9470387243735763,0.9766839378238342,0.956548347613219,0.9277673545966229,0.9223057644110275,0.9472727272727273,0.9492957746478873,0.9458288190682557,0.9645917907081641,0.7606896551724138,0.8851640513552068,0.91353001017294,0.9805950840879689
homo14,0.9833134684147795,0.9637681159420289,0.7094535993061578,0.865530303030303,0.9667066586682663,0.9471437951411688,0.9654939106901218,0.9515682656826568,0.7082324455205811,0.769680436477007,0.9760348583877996,0.9303317535545024,0.9726251754796443,0.9757972665148064,0.8404145077720208,0.9651162790697675,0.8972795497185742,0.9419381787802841,0.9175757575757576,0.9690140845070423,0.9479956663055255,0.9569237708615246,0.946551724137931,0.9254636233951498,0.9287894201424212,0.9236739974126779
