,Sample,Chrom,Start,End,Recovery
0,homo1,A01,0,1000000,1.0
1,homo2,A01,0,1000000,1.0
2,homo3,A01,0,1000000,1.0
3,homo4,A01,0,1000000,1.0
4,homo5,A01,0,1000000,1.0
5,homo6,A01,0,1000000,1.0
6,homo7,A01,0,1000000,1.0
7,homo8,A01,0,1000000,0.6333333333333333
8,homo9,A01,0,1000000,0.6333333333333333
9,homo10,A01,0,1000000,0.6333333333333333
10,homo11,A01,0,1000000,1.0
11,homo12,A01,0,1000000,0.6333333333333333
12,homo13,A01,0,1000000,0.5666666666666667
13,homo14,A01,0,1000000,1.0
14,homo15,A01,0,1000000,0.3333333333333333
15,homo16,A01,0,1000000,0.3333333333333333
16,homo17,A01,0,1000000,0.3333333333333333
17,homo18,A01,0,1000000,0.6333333333333333
18,homo19,A01,0,1000000,0.5666666666666667
19,homo20,A01,0,1000000,0.26666666666666666
20,homo21,A01,0,1000000,1.0
21,homo22,A01,0,1000000,1.0
22,homo1,A01,500000,1500000,1.0
23,homo2,A01,500000,1500000,1.0
24,homo3,A01,500000,1500000,1.0
25,homo4,A01,500000,1500000,1.0
26,homo5,A01,500000,1500000,1.0
27,homo6,A01,500000,1500000,1.0
28,homo7,A01,500000,1500000,1.0
29,homo8,A01,500000,1500000,0.6388888888888888
30,homo9,A01,500000,1500000,0.6388888888888888
31,homo10,A01,500000,1500000,0.6388888888888888
32,homo11,A01,500000,1500000,0.9722222222222222
33,homo12,A01,500000,1500000,0.6388888888888888
34,homo13,A01,500000,1500000,0.5833333333333334
35,homo14,A01,500000,1500000,1.0
36,homo15,A01,500000,1500000,0.5555555555555556
37,homo16,A01,500000,1500000,0.5555555555555556
38,homo17,A01,500000,1500000,0.5555555555555556
39,homo18,A01,500000,1500000,0.6388888888888888
40,homo19,A01,500000,1500000,0.5833333333333334
41,homo20,A01,500000,1500000,0.3611111111111111
42,homo21,A01,500000,1500000,1.0
43,homo22,A01,500000,1500000,1.0
44,homo1,A01,1000000,2000000,1.0
45,homo2,A01,1000000,2000000,1.0
